iter	Passed	Remaining
166	408	2038
167	410	2033
168	412	2027
169	414	2022
170	416	2016
171	417	2012
172	419	2006
173	421	1999
174	423	1994
175	424	1989
176	426	1983
177	428	1977
178	430	1972
179	432	1968
180	433	1963
181	435	1956
182	437	1951
183	438	1945
184	440	1940
185	442	1935
186	444	1930
187	445	1926
188	447	1922
189	449	1918
190	451	1914
191	453	1909
192	455	1904
193	457	1900
194	458	1894
195	461	1891
196	463	1887
197	464	1883
198	466	1878
199	468	1874
200	470	1870
201	472	1866
202	474	1862
203	476	1860
204	478	1857
205	480	1852
206	482	1848
207	484	1844
208	487	1844
209	491	1849
210	496	1854
211	498	1854
212	500	1850
213	502	1845
214	504	1843
215	507	1842
216	509	1838
217	511	1834
218	513	1830
219	515	1825
220	516	1821
221	518	1817
222	520	1813
223	522	1810
224	524	1806
225	526	1802
226	528	1798
227	529	1794
228	531	1790
229	533	1786
230	535	1783
231	537	1779
232	539	1775
233	541	1771
234	542	1766
235	544	1763
236	546	1759
237	548	1754
238	549	1750
239	551	1746
240	553	1742
241	555	1738
242	556	1734
243	558	1730
244	560	1726
245	562	1722
246	563	1719
247	565	1715
248	567	1712
249	569	1708
250	571	1705
251	573	1702
252	576	1700
253	578	1697
254	579	1694
255	581	1690
256	583	1688
257	585	1684
258	587	1681
259	589	1678
260	592	1676
261	593	1672
262	595	1669
263	599	1670
264	600	1666
265	602	1662
266	604	1659
267	606	1655
268	607	1651
269	609	1647
270	611	1644
271	613	1641
272	615	1638
273	617	1634
274	618	1631
275	620	1628
276	622	1624
277	624	1621
278	626	1617
279	628	1614
280	630	1612
281	632	1610
282	634	1607
283	636	1603
284	637	1600
285	639	1597
286	641	1594
287	643	1590
288	645	1587
289	646	1583
290	648	1579
291	649	1575
292	651	1571
293	652	1566
294	653	1562
295	654	1557
296	656	1553
297	658	1551
298	661	1549
299	662	1546
300	664	1542
301	665	1539
302	667	1535
303	668	1531
304	670	1527
305	671	1523
306	672	1518
307	674	1515
308	676	1512
309	677	1507
310	678	1503
311	680	1499
312	681	1495
313	682	1491
314	683	1487
315	685	1482
316	686	1478
317	687	1475
318	689	1471
319	690	1466
320	691	1462
321	693	1459
322	694	1455
323	695	1451
324	696	1447
325	698	1443
326	699	1439
327	700	1435
328	702	1432
329	704	1429
330	706	1427
331	707	1423
332	708	1419
333	709	1415
334	710	1411
335	712	1407
336	713	1403
337	714	1399
338	715	1396
339	717	1392
340	719	1389
341	720	1386
342	722	1382
343	723	1379
344	724	1376
345	726	1372
346	727	1368
347	728	1364
348	729	1361
349	731	1358
350	732	1354
351	734	1351
352	735	1348
353	737	1344
354	738	1341
355	739	1337
356	740	1333
357	741	1330
358	743	1326
359	744	1323
360	745	1320
361	746	1316
362	748	1313
363	749	1309
364	751	1307
365	752	1304
366	754	1300
367	755	1297
368	756	1294
369	757	1290
370	759	1287
371	760	1283
372	761	1280
373	763	1277
374	764	1274
375	766	1271
376	767	1268
377	768	1265
378	770	1262
379	771	1258
380	772	1255
381	774	1252
382	775	1250
383	777	1247
384	779	1244
385	780	1241
386	782	1239
387	784	1236
388	785	1233
389	787	1231
390	788	1228
391	790	1225
392	791	1222
393	793	1219
394	794	1217
395	796	1214
396	797	1210
397	798	1208
398	800	1205
399	802	1204
400	804	1201
401	806	1199
402	807	1196
403	810	1195
404	812	1192
405	813	1190
406	815	1188
407	817	1185
408	818	1183
409	820	1181
410	822	1178
411	824	1176
412	826	1174
413	828	1172
414	830	1170
415	832	1168
416	833	1165
417	835	1163
418	837	1161
419	839	1158
420	841	1156
421	843	1154
422	844	1152
423	846	1149
424	848	1147
425	850	1145
426	851	1142
427	853	1140
428	855	1138
429	857	1136
430	859	1134
431	861	1132
432	863	1130
433	864	1127
434	866	1125
435	868	1123
436	871	1122
437	873	1120
438	874	1118
439	876	1115
440	878	1113
441	880	1110
442	881	1108
443	883	1106
444	885	1104
445	887	1102
446	889	1100
447	891	1097
448	892	1095
449	894	1093
450	896	1091
451	898	1089
452	900	1086
453	902	1084
454	903	1082
